Error Sentence,Error Type,Corrected Sentence
மரங்கள் தினமும் பசுமை விரித்தன.,Habitual Error,மரங்கள் தினமும் பசுமை விரிக்கும்.
நிகழ்ச்சியின் நேரம் ஒவ்வொரு நாளும் மாற்றப்பட்டது.,Habitual Error,நிகழ்ச்சியின் நேரம் ஒவ்வொரு நாளும் மாற்றப்படும்.
வானிலை மையம் தினமும் தகவல்கள் வெளியிட்டது.,Habitual Error,வானிலை மையம் தினமும் தகவல்கள் வெளியிடும்.
மனிதர்கள் தினமும் புதிய கண்டுபிடிப்புகளை செய்தனர்.,Habitual Error,மனிதர்கள் தினமும் புதிய கண்டுபிடிப்புகளை செய்வார்கள்.
பள்ளி ஓசைகள் தினமும் குழந்தைகளை அழைத்தன.,Habitual Error,பள்ளி ஓசைகள் தினமும் குழந்தைகளை அழைக்கும்.
மழைமுகில் ஒவ்வொரு முறையும் வெளிச்சம் தந்தது.,Habitual Error,மழைமுகில் ஒவ்வொரு முறையும் வெளிச்சம் தரும்.
நாடகம் ஒவ்வொரு முறையும் பார்வையாளர்களை கவர்ந்தது.,Habitual Error,நாடகம் ஒவ்வொரு முறையும் பார்வையாளர்களை கவரும்.
படகு தினமும் கடலில் பயணித்தது.,Habitual Error,படகு தினமும் கடலில் பயணிக்கும்.
நத்தார் தினமும் குரல் எழுப்பினான்.,Habitual Error,நத்தார் தினமும் குரல் எழுப்புவான்.
பூங்கா ஒவ்வொரு நாளும் சுற்றுப்பயணிகளை பெற்றது.,Habitual Error,பூங்கா ஒவ்வொரு நாளும் சுற்றுப்பயணிகளை பெறும்.
நகராட்சி ஒவ்வொரு மாதமும் புதிய திட்டங்களை அறிவித்தது.,Habitual Error,நகராட்சி ஒவ்வொரு மாதமும் புதிய திட்டங்களை அறிவிக்கும்.
படித்தறை ஒவ்வொரு நாளும் புதிய புத்தகங்களை பெற்றது.,Habitual Error,படித்தறை ஒவ்வொரு நாளும் புதிய புத்தகங்களை பெறும்.
படகு ஒவ்வொரு நாளும் தண்ணீரில் புறப்பட்டது.,Habitual Error,படகு ஒவ்வொரு நாளும் தண்ணீரில் புறப்படும்.
கிழக்கு காற்று ஒவ்வொரு காலையும் அடிக்கடி வீசியது.,Habitual Error,கிழக்கு காற்று ஒவ்வொரு காலையும் அடிக்கடி வீசும்.
சிறிய மீன்கள் தினமும் பெரிய மீன்களை உண்கின்றன.,Habitual Error,சிறிய மீன்கள் தினமும் பெரிய மீன்களை உண்ணும்.
சிறு கிராமங்கள் ஒவ்வொரு மாதமும் புதிய வழிமுறைகளை துவங்கினான்.,Habitual Error,சிறு கிராமங்கள் ஒவ்வொரு மாதமும் புதிய வழிமுறைகளை துவங்கும்.
நான் பொதுவாக ஏழு மணிக்கு எழுந்தேன்.,Habitual Error,நான் பொதுவாக ஏழு மணிக்கு எழுவேன்.
அவர் எப்பொழும் இரவில் தொலைக்காட்சி பார்க்கின்றார்.,Habitual Error,அவர் எப்பொழும் இரவில் தொலைக்காட்சி பார்ப்பார்.
அந்த பையன்கள் தினமும் டென்னிஸ் விளையாடினார்கள்.,Habitual Error,அந்த பையன்கள் தினமும் டென்னிஸ் விளையாடுவார்கள்.
நாம் எப்பொழும் பாடசாலைக்கு நடந்து சென்றோம்.,Habitual Error,நாம் எப்பொழும் பாடசாலைக்கு நடந்து செல்வோம்.
அவர்கள் பொதுவாக வெள்ளி கிழமைகளில் பிரியானி செய்தார்கள்.,Habitual Error,அவர்கள் பொதுவாக வெள்ளி கிழமைகளில் பிரியானி செய்வார்கள்.
அவர்கள் ஒவ்வொரு நாளும் பாடசாலைக்கு சென்றார்கள்.,Habitual Error,அவர்கள் ஒவ்வொரு நாளும் பாடசாலைக்கு செல்வார்கள்.
அவர் ஒவ்வொரு நாளும் காலை 6 மணிக்கு எழுப்பினார்.,Habitual Error,அவர் ஒவ்வொரு நாளும் காலை 6 மணிக்கு எழுப்புவார்.
நாம் செவ்வாய்க்கிழமை இரவு பானம் பருகுகிறோம்.,Habitual Error,நாம் செவ்வாய்க்கிழமை இரவு பானம் பருகுவோம்.
அவள் அதிக நேரம் நூல்கள் படிக்கிறாள்.,Habitual Error,அவள் அதிக நேரம் நூல்கள் படிப்பாள்.
அவர்கள் வாரந்தோறும் சினிமா பார்க்கின்றனர்.,Habitual Error,அவர்கள் வாரந்தோறும் சினிமா பார்ப்பார்கள்.
நான் புதன்கிழமை சாப்பாடு தயாரிக்கிறேன்.,Habitual Error,நான் புதன்கிழமை சாப்பாடு தயாரிப்பேன்.
நீங்கள் பொதுவாக காலை பயிற்சி செய்தீர்கள்.,Habitual Error,நீங்கள் பொதுவாக காலை பயிற்சி செய்வீர்கள்.
என்றும் என் பக்கம் வந்து சிரிக்கின்றார்.,Habitual Error,என்றும் என் பக்கம் வந்து சிரிப்பார்.
அவர் ஒவ்வொரு நாளும் காலை பயிற்சி செய்து வருகிறார்.,Habitual Error,அவர் ஒவ்வொரு நாளும் காலை பயிற்சி செய்து வந்தார்.
நீங்கள் அரங்கில் படிக்கிறீர்கள்., No Error, நீங்கள் அரங்கில் படிக்கிறீர்கள்.
அவன் பூங்காவில் பாடுகிறார்., No Error, அவன் பூங்காவில் பாடுகிறார்.
நீங்கள் வீட்டில் எழுதுகிறீர்கள்., No Error, நீங்கள் வீட்டில் எழுதுகிறீர்கள்.
அவள் நகரத்தில் கடந்து போகிறாள்., No Error, அவள் நகரத்தில் கடந்து போகிறாள்.
நாங்கள் நகரத்தில் படிக்கிறோம்., No Error, நாங்கள் நகரத்தில் படிக்கிறோம்.
நான் வீட்டில் படிக்கிறேன்., No Error, நான் வீட்டில் படிக்கிறேன்.
அவன் நகரத்தில் பாடுகிறார்., No Error, அவன் நகரத்தில் பாடுகிறார்.
அவன் பூங்காவில் செல்கிறான்., No Error, அவன் பூங்காவில் செல்கிறான்.
நீங்கள் அரங்கில் எழுதுகிறீர்கள்., No Error, நீங்கள் அரங்கில் எழுதுகிறீர்கள்.
நான் பூங்காவில் பாடுகிறேன்., No Error, நான் பூங்காவில் பாடுகிறேன்.
நாங்கள் பள்ளியில் கடந்து போகிறோம்., No Error, நாங்கள் பள்ளியில் கடந்து போகிறோம்.
நாங்கள் அரங்கில் படிக்கிறோம்., No Error, நாங்கள் அரங்கில் படிக்கிறோம்.
அவர்கள் நகரத்தில் செல்கிறார்கள்., No Error, அவர்கள் நகரத்தில் செல்கிறார்கள்.
அவர்கள் நகரத்தில் பாடுகிறார்கள்., No Error, அவர்கள் நகரத்தில் பாடுகிறார்கள்.
அவர்கள் பள்ளியில் படிக்கிறார்கள்., No Error, அவர்கள் பள்ளியில் படிக்கிறார்கள்.
அவள் பள்ளியில் படிக்கிறாள்., No Error, அவள் பள்ளியில் படிக்கிறாள்.
நான் அரங்கில் கடந்து போகிறேன்., No Error, நான் அரங்கில் கடந்து போகிறேன்.
அவள் வீட்டில் வந்தாள்., No Error, அவள் வீட்டில் வந்தாள்.
அவன் வீட்டில் கடந்து போகிறான்., No Error, அவன் வீட்டில் கடந்து போகிறான்.
நான் பள்ளியில் செல்கிறேன்., No Error, நான் பள்ளியில் செல்கிறேன்.
அவர்கள் வீட்டில் படிக்கிறார்கள்., No Error, அவர்கள் வீட்டில் படிக்கிறார்கள்.
நான் பூங்காவில் கடந்து போகிறேன்., No Error, நான் பூங்காவில் கடந்து போகிறேன்.
நீங்கள் அரங்கில் வந்தீர்கள்., No Error, நீங்கள் அரங்கில் வந்தீர்கள்.
நான் அரங்கில் வந்தேன்., No Error, நான் அரங்கில் வந்தேன்.
அவர்கள் கேட்ஜில் எழுதுகிறார்கள்., No Error, அவர்கள் கேட்ஜில் எழுதுகிறார்கள்.
நாங்கள் வீட்டில் செல்கிறோம்., No Error, நாங்கள் வீட்டில் செல்கிறோம்.
அவர்கள் பூங்காவில் வந்தார்கள்., No Error, அவர்கள் பூங்காவில் வந்தார்கள்.
அவள் பூங்காவில் எழுதுகிறாள்., No Error, அவள் பூங்காவில் எழுதுகிறாள்.
அவள் கேட்ஜில் செல்கிறாள்., No Error, அவள் கேட்ஜில் செல்கிறாள்.
நீங்கள் கேட்ஜில் வந்தீர்கள்., No Error, நீங்கள் கேட்ஜில் வந்தீர்கள்.
அவர்கள் அரங்கில் பாடுகிறார்கள்., No Error, அவர்கள் அரங்கில் பாடுகிறார்கள்.
நீங்கள் பள்ளியில் எழுதுகிறீர்கள்., No Error, நீங்கள் பள்ளியில் எழுதுகிறீர்கள்.
நீங்கள் வீட்டில் வந்தீர்கள்., No Error, நீங்கள் வீட்டில் வந்தீர்கள்.
அவள் நகரத்தில் செல்கிறாள்., No Error, அவள் நகரத்தில் செல்கிறாள்.
நாங்கள் பூங்காவில் செல்கிறோம்., No Error, நாங்கள் பூங்காவில் செல்கிறோம்.
நான் கேட்ஜில் படிக்கிறேன்., No Error, நான் கேட்ஜில் படிக்கிறேன்.
அவர்கள் கேட்ஜில் செல்கிறார்கள்., No Error, அவர்கள் கேட்ஜில் செல்கிறார்கள்.
அவர்கள் அரங்கில் வந்தார்கள்., No Error, அவர்கள் அரங்கில் வந்தார்கள்.
அவன் அரங்கில் வந்தான்., No Error, அவன் அரங்கில் வந்தான்.
நாங்கள் பள்ளியில் எழுதுகிறோம்., No Error, நாங்கள் பள்ளியில் எழுதுகிறோம்.
நீங்கள் கேட்ஜில் கடந்து போகிறீர்கள்., No Error, நீங்கள் கேட்ஜில் கடந்து போகிறீர்கள்.
அவர்கள் அரங்கில் செல்கிறார்கள்., No Error, அவர்கள் அரங்கில் செல்கிறார்கள்.
நாங்கள் நகரத்தில் படிக்கிறோம்., No Error, நாங்கள் நகரத்தில் படிக்கிறோம்.
அவர்கள் பூங்காவில் கடந்து போகிறார்கள்., No Error, அவர்கள் பூங்காவில் கடந்து போகிறார்கள்.
நான் நகரத்தில் படிக்கிறேன்., No Error, நான் நகரத்தில் படிக்கிறேன்.
நாங்கள் பூங்காவில் படிக்கிறோம்., No Error, நாங்கள் பூங்காவில் படிக்கிறோம்.
அவள் நகரத்தில் படிக்கிறாள்., No Error, அவள் நகரத்தில் படிக்கிறாள்.
நாங்கள் பள்ளியில் பாடுகிறோம்., No Error, நாங்கள் பள்ளியில் பாடுகிறோம்.
நீங்கள் பள்ளியில் எழுதுகிறீர்கள்., No Error, நீங்கள் பள்ளியில் எழுதுகிறீர்கள்.
நான் வீட்டில் எழுதுகிறேன்., No Error, நான் வீட்டில் எழுதுகிறேன்.
நான் நகரத்தில் கடந்து போகிறேன்., No Error, நான் நகரத்தில் கடந்து போகிறேன்.
நீங்கள் பூங்காவில் வந்தீர்கள்., No Error, நீங்கள் பூங்காவில் வந்தீர்கள்.
நான் அரங்கில் பாடுகிறேன்., No Error, நான் அரங்கில் பாடுகிறேன்.
நாங்கள் வீட்டில் பாடுகிறோம்., No Error, நாங்கள் வீட்டில் பாடுகிறோம்.
நீங்கள் பூங்காவில் வந்தீர்கள்., No Error, நீங்கள் பூங்காவில் வந்தீர்கள்.
நான் அரங்கில் வந்தேன்., No Error, நான் அரங்கில் வந்தேன்.
அவன் பள்ளியில் எழுதுகிறான்., No Error, அவன் பள்ளியில் எழுதுகிறான்.
அவர்கள் நகரத்தில் பாடுகிறார்கள்., No Error, அவர்கள் நகரத்தில் பாடுகிறார்கள்.
நான் வீட்டில் கடந்து போகிறேன்., No Error, நான் வீட்டில் கடந்து போகிறேன்.
அவள் பூங்காவில் எழுதுகிறாள்., No Error, அவள் பூங்காவில் எழுதுகிறாள்.
அவள் நகரத்தில் செல்கிறாள்., No Error, அவள் நகரத்தில் செல்கிறாள்.
அவள் நகரத்தில் பாடுகிறாள்., No Error, அவள் நகரத்தில் பாடுகிறாள்.
அவள் அரங்கில் படிக்கிறாள்., No Error, அவள் அரங்கில் படிக்கிறாள்.
நான் கேட்ஜில் படிக்கிறேன்., No Error, நான் கேட்ஜில் படிக்கிறேன்.
நாங்கள் வீட்டில் வந்தோம்., No Error, நாங்கள் வீட்டில் வந்தோம்.
அவர்கள் நகரத்தில் படிக்கிறார்கள்., No Error, அவர்கள் நகரத்தில் படிக்கிறார்கள்.
நீங்கள் பூங்காவில் பாடுகிறீர்கள்., No Error, நீங்கள் பூங்காவில் பாடுகிறீர்கள்.
அவள் அரங்கில் பாடுகிறாள்., No Error, அவள் அரங்கில் பாடுகிறாள்.
நான் நகரத்தில் வந்தேன்., No Error, நான் நகரத்தில் வந்தேன்.
அவர்கள் வீட்டில் படிக்கிறார்கள்., No Error, அவர்கள் வீட்டில் படிக்கிறார்கள்.
அவன் கேட்ஜில் செல்கிறான்., No Error, அவன் கேட்ஜில் செல்கிறான்.
அவள் அரங்கில் கடந்து போகிறாள்., No Error, அவள் அரங்கில் கடந்து போகிறாள்.
அவன் வீட்டில் கடந்து போகிறான்., No Error, அவன் வீட்டில் கடந்து போகிறான்.
அவர்கள் நகரத்தில் எழுதுகிறார்கள்., No Error, அவர்கள் நகரத்தில் எழுதுகிறார்கள்.
நான் கேட்ஜில் படிக்கிறேன்., No Error, நான் கேட்ஜில் படிக்கிறேன்.
அவன் பள்ளியில் செல்கிறான்., No Error, அவன் பள்ளியில் செல்கிறான்.
அவள் கேட்ஜில் படிக்கிறாள்., No Error, அவள் கேட்ஜில் படிக்கிறாள்.
அவன் அரங்கில் பாடுகிறான்., No Error, அவன் அரங்கில் பாடுகிறான்.
நீங்கள் நகரத்தில் எழுதுகிறீர்கள்., No Error, நீங்கள் நகரத்தில் எழுதுகிறீர்கள்.
அவள் வீட்டில் எழுதுகிறாள்., No Error, அவள் வீட்டில் எழுதுகிறாள்.
நான் கேட்ஜில் எழுதுகிறேன்., No Error, நான் கேட்ஜில் எழுதுகிறேன்.
நான் கேட்ஜில் கடந்து போகிறேன்., No Error, நான் கேட்ஜில் கடந்து போகிறேன்.
அவள் பள்ளியில் கடந்து போகிறாள்., No Error, அவள் பள்ளியில் கடந்து போகிறாள்.
அவர்கள் கேட்ஜில் பாடுகிறார்கள்., No Error, அவர்கள் கேட்ஜில் பாடுகிறார்கள்.
அவர்கள் அரங்கில் எழுதுகிறார்கள்., No Error, அவர்கள் அரங்கில் எழுதுகிறார்கள்.
அவன் பள்ளியில் படிக்கிறான்., No Error, அவன் பள்ளியில் படிக்கிறான்.
நான் வீட்டில் எழுதுகிறேன்., No Error, நான் வீட்டில் எழுதுகிறேன்.
நாங்கள் அரங்கில் கடந்து போகிறோம்., No Error, நாங்கள் அரங்கில் கடந்து போகிறோம்.
நான் பள்ளியில் செல்கிறேன்., No Error, நான் பள்ளியில் செல்கிறேன்.
நாங்கள் நகரத்தில் செல்கிறோம்., No Error, நாங்கள் நகரத்தில் செல்கிறோம்.
நாங்கள் கேட்ஜில் பாடுகிறோம்., No Error, நாங்கள் கேட்ஜில் பாடுகிறோம்.
அவள் அரங்கில் படிக்கிறாள்., No Error, அவள் அரங்கில் படிக்கிறாள்.
அவன் கேட்ஜில் கடந்து போகிறான்., No Error, அவன் கேட்ஜில் கடந்து போகிறான்.
அவர்கள் பள்ளியில் செல்கிறார்கள்., No Error, அவர்கள் பள்ளியில் செல்கிறார்கள்.
நான் கேட்ஜில் படிக்கிறேன்., No Error, நான் கேட்ஜில் படிக்கிறேன்.
நாங்கள் நகரத்தில் எழுதுகிறோம்., No Error, நாங்கள் நகரத்தில் எழுதுகிறோம்.
அவர்கள் நகரத்தில் பாடுகிறார்கள்., No Error, அவர்கள் நகரத்தில் பாடுகிறார்கள்.
நீங்கள் நகரத்தில் செல்கிறீர்கள்., No Error, நீங்கள் நகரத்தில் செல்கிறீர்கள்.
அவள் கேட்ஜில் படிக்கிறாள்., No Error, அவள் கேட்ஜில் படிக்கிறாள்.
நான் அரங்கில் செல்கிறேன்., No Error, நான் அரங்கில் செல்கிறேன்.
அவள் நகரத்தில் வந்தாள்., No Error, அவள் நகரத்தில் வந்தாள்.
அவர்கள் வீட்டில் எழுதுகிறார்கள்., No Error, அவர்கள் வீட்டில் எழுதுகிறார்கள்.
நாங்கள் வீட்டில் கடந்து போகிறோம்., No Error, நாங்கள் வீட்டில் கடந்து போகிறோம்.
நீங்கள் பள்ளியில் பாடுகிறீர்கள்., No Error, நீங்கள் பள்ளியில் பாடுகிறீர்கள்.
அவர்கள் அரங்கில் கடந்து போகிறார்கள்., No Error, அவர்கள் அரங்கில் கடந்து போகிறார்கள்.
அவன் கேட்ஜில் செல்கிறான்., No Error, அவன் கேட்ஜில் செல்கிறான்.
நாங்கள் பூங்காவில் கடந்து போகிறோம்., No Error, நாங்கள் பூங்காவில் கடந்து போகிறோம்.
அவர்கள் வீட்டில் செல்கிறார்கள்., No Error, அவர்கள் வீட்டில் செல்கிறார்கள்.
அவள் அரங்கில் வந்தாள்., No Error, அவள் அரங்கில் வந்தாள்.
நீங்கள் வீட்டில் பாடுகிறீர்கள்., No Error, நீங்கள் வீட்டில் பாடுகிறீர்கள்.
நான் வீட்டில் எழுதுகிறேன்., No Error, நான் வீட்டில் எழுதுகிறேன்.
அவர்கள் அரங்கில் கடந்து போகிறார்கள்., No Error, அவர்கள் அரங்கில் கடந்து போகிறார்கள்.
நான் அரங்கில் கடந்து போகிறேன்., No Error, நான் அரங்கில் கடந்து போகிறேன்.
அவன் நகரத்தில் கடந்து போகிறான்., No Error, அவன் நகரத்தில் கடந்து போகிறான்.
நீங்கள் வீட்டில் வந்தீர்கள்., No Error, நீங்கள் வீட்டில் வந்தீர்கள்.
நீங்கள் பூங்காவில் வந்தீர்கள்., No Error, நீங்கள் பூங்காவில் வந்தீர்கள்.
அவன் பள்ளியில் கடந்து போகிறான்., No Error, அவன் பள்ளியில் கடந்து போகிறான்.
அவன் நகரத்தில் கடந்து போகிறான்., No Error, அவன் நகரத்தில் கடந்து போகிறான்.
அவள் கேட்ஜில் எழுதுகிறாள்., No Error, அவள் கேட்ஜில் எழுதுகிறாள்.
அவர்கள் நகரத்தில் பாடுகிறார்கள்., No Error, அவர்கள் நகரத்தில் பாடுகிறார்கள்.
அவன் வீட்டில் கடந்து போகிறான்., No Error, அவன் வீட்டில் கடந்து போகிறான்.
அவன் பள்ளியில் கடந்து போகிறான்., No Error, அவன் பள்ளியில் கடந்து போகிறான்.
அவன் நகரத்தில் பாடுகிறான்., No Error, அவன் நகரத்தில் பாடுகிறான்.
அவர்கள் பள்ளியில் செல்கிறார்கள்., No Error, அவர்கள் பள்ளியில் செல்கிறார்கள்.
அவன் அரங்கில் எழுதுகிறான்., No Error, அவன் அரங்கில் எழுதுகிறான்.
அவள் கேட்ஜில் வந்தாள்., No Error, அவள் கேட்ஜில் வந்தாள்.
நீங்கள் வீட்டில் வந்தீர்கள்., No Error, நீங்கள் வீட்டில் வந்தீர்கள்.
நீங்கள் வீட்டில் எழுதுகிறீர்கள்., No Error, நீங்கள் வீட்டில் எழுதுகிறீர்கள்.
அவர்கள் வீட்டில் வந்தார்கள்., No Error, அவர்கள் வீட்டில் வந்தார்கள்.
அவன் கேட்ஜில் எழுதுகிறான்., No Error, அவன் கேட்ஜில் எழுதுகிறான்.
அவன் நகரத்தில் வந்தான்., No Error, அவன் நகரத்தில் வந்தான்.
நீங்கள் நகரத்தில் செல்கிறீர்கள்., No Error, நீங்கள் நகரத்தில் செல்கிறீர்கள்.
நீங்கள் பள்ளியில் பாடுகிறீர்கள்., No Error, நீங்கள் பள்ளியில் பாடுகிறீர்கள்.
நாங்கள் அரங்கில் படிக்கிறோம்., No Error, நாங்கள் அரங்கில் படிக்கிறோம்.
அவர்கள் அரங்கில் கடந்து போகிறார்கள்., No Error, அவர்கள் அரங்கில் கடந்து போகிறார்கள்.
அவள் பள்ளியில் படிக்கிறாள்., No Error, அவள் பள்ளியில் படிக்கிறாள்.
நான் பள்ளியில் செல்கிறேன்., No Error, நான் பள்ளியில் செல்கிறேன்.
அவர்கள் பள்ளியில் பாடுகிறார்கள்., No Error, அவர்கள் பள்ளியில் பாடுகிறார்கள்.
நான் நகரத்தில் கடந்து போகிறேன்., No Error, நான் நகரத்தில் கடந்து போகிறேன்.
அவர்கள் அரங்கில் கடந்து போகிறார்கள்., No Error, அவர்கள் அரங்கில் கடந்து போகிறார்கள்.
நாங்கள் கேட்ஜில் வந்தோம்., No Error, நாங்கள் கேட்ஜில் வந்தோம்.
அவன் வீட்டில் வந்தான்., No Error, அவன் வீட்டில் வந்தான்.
அவன் பூங்காவில் கடந்து போகிறான்., No Error, அவன் பூங்காவில் கடந்து போகிறான்.
அவர்கள் அரங்கில் செல்கிறார்கள்., No Error, அவர்கள் அரங்கில் செல்கிறார்கள்.
நீங்கள் நகரத்தில் படிக்கிறீர்கள்., No Error, நீங்கள் நகரத்தில் படிக்கிறீர்கள்.
அவர்கள் வீட்டில் கடந்து போகிறார்கள்., No Error, அவர்கள் வீட்டில் கடந்து போகிறார்கள்.
நான் பள்ளியில் பாடுகிறேன்., No Error, நான் பள்ளியில் பாடுகிறேன்.
நீங்கள் நகரத்தில் செல்கிறீர்கள்., No Error, நீங்கள் நகரத்தில் செல்கிறீர்கள்.
அவன் வீட்டில் கடந்து போகிறான்., No Error, அவன் வீட்டில் கடந்து போகிறான்.
அவன் பள்ளியில் பாடுகிறான்., No Error, அவன் பள்ளியில் பாடுகிறான்.
நான் பூங்காவில் படிக்கிறேன்., No Error, நான் பூங்காவில் படிக்கிறேன்.
அவர்கள் அரங்கில் பாடுகிறார்கள்., No Error, அவர்கள் அரங்கில் பாடுகிறார்கள்.
அவள் நகரத்தில் படிக்கிறாள்., No Error, அவள் நகரத்தில் படிக்கிறாள்.
நாங்கள் அரங்கில் செல்கிறோம்., No Error, நாங்கள் அரங்கில் செல்கிறோம்.
நீங்கள் பள்ளியில் வந்தீர்கள்., No Error, நீங்கள் பள்ளியில் வந்தீர்கள்.
அவன் வீட்டில் செல்கிறான்., No Error, அவன் வீட்டில் செல்கிறான்.
அவள் பூங்காவில் வந்தாள்., No Error, அவள் பூங்காவில் வந்தாள்.
அவன் பூங்காவில் செல்கிறான்., No Error, அவன் பூங்காவில் செல்கிறான்.
அவன் அரங்கில் செல்கிறான்., No Error, அவன் அரங்கில் செல்கிறான்.
நீங்கள் கேட்ஜில் பாடுகிறீர்கள்., No Error, நீங்கள் கேட்ஜில் பாடுகிறீர்கள்.
நீங்கள் அரங்கில் பாடுகிறீர்கள்., No Error, நீங்கள் அரங்கில் பாடுகிறீர்கள்.
அவள் அரங்கில் கடந்து போகிறாள்., No Error, அவள் அரங்கில் கடந்து போகிறாள்.
அவன் பூங்காவில் செல்கிறான்., No Error, அவன் பூங்காவில் செல்கிறான்.
நான் நகரத்தில் கடந்து போகிறேன்., No Error, நான் நகரத்தில் கடந்து போகிறேன்.
நான் அரங்கில் படிக்கிறேன்., No Error, நான் அரங்கில் படிக்கிறேன்.
நான் கேட்ஜில் எழுதுகிறேன்., No Error, நான் கேட்ஜில் எழுதுகிறேன்.
அவள் பள்ளியில் கடந்து போகிறாள்., No Error, அவள் பள்ளியில் கடந்து போகிறாள்.
அவன் நகரத்தில் படிக்கிறான்., No Error, அவன் நகரத்தில் படிக்கிறான்.
அவள் அரங்கில் எழுதுகிறாள்., No Error, அவள் அரங்கில் எழுதுகிறாள்.
அவர்கள் வீட்டில் பாடுகிறார்கள்., No Error, அவர்கள் வீட்டில் பாடுகிறார்கள்.
நாங்கள் நகரத்தில் கடந்து போகிறோம்., No Error, நாங்கள் நகரத்தில் கடந்து போகிறோம்.
அவன் வீட்டில் வந்தான்., No Error, அவன் வீட்டில் வந்தான்.
நாங்கள் அரங்கில் எழுதுகிறோம்., No Error, நாங்கள் அரங்கில் எழுதுகிறோம்.
நாங்கள் நகரத்தில் படிக்கிறோம்., No Error, நாங்கள் நகரத்தில் படிக்கிறோம்.
நான் நகரத்தில் படிக்கிறேன்., No Error, நான் நகரத்தில் படிக்கிறேன்.
நாங்கள் வீட்டில் கடந்து போகிறோம்., No Error, நாங்கள் வீட்டில் கடந்து போகிறோம்.
நான் அரங்கில் செல்கிறேன்., No Error, நான் அரங்கில் செல்கிறேன்.
அவர்கள் பள்ளியில் எழுதுகிறார்கள்., No Error, அவர்கள் பள்ளியில் எழுதுகிறார்கள்.
அவர்கள் பள்ளியில் செல்கிறார்கள்., No Error, அவர்கள் பள்ளியில் செல்கிறார்கள்.
நாங்கள் அரங்கில் வந்தோம்., No Error, நாங்கள் அரங்கில் வந்தோம்.
நான் பூங்காவில் கடந்து போகிறேன்., No Error, நான் பூங்காவில் கடந்து போகிறேன்.
நீங்கள் பூங்காவில் எழுதுகிறீர்கள்., No Error, நீங்கள் பூங்காவில் எழுதுகிறீர்கள்.
அவன் அரங்கில் செல்கிறான்., No Error, அவன் அரங்கில் செல்கிறான்.
நான் அரங்கில் வந்தேன்., No Error, நான் அரங்கில் வந்தேன்.
அவன் நகரத்தில் எழுதுகிறான்., No Error, அவன் நகரத்தில் எழுதுகிறான்.
அவர்கள் அரங்கில் படிக்கிறார்கள்., No Error, அவர்கள் அரங்கில் படிக்கிறார்கள்.
அவன் பூங்காவில் படிக்கிறான்., No Error, அவன் பூங்காவில் படிக்கிறான்.
அவன் பூங்காவில் வந்தான்., No Error, அவன் பூங்காவில் வந்தான்.
அவள் பூங்காவில் கடந்து போகிறாள்., No Error, அவள் பூங்காவில் கடந்து போகிறாள்.
அவள் கேட்ஜில் செல்கிறாள்., No Error, அவள் கேட்ஜில் செல்கிறாள்.
நீங்கள் கேட்ஜில் கடந்து போகிறீர்கள்., No Error, நீங்கள் கேட்ஜில் கடந்து போகிறீர்கள்.
அவன் பள்ளியில் செல்கிறான்., No Error, அவன் பள்ளியில் செல்கிறான்.
நீங்கள் பள்ளியில் எழுதுகிறீர்கள்., No Error, நீங்கள் பள்ளியில் எழுதுகிறீர்கள்.
அவர்கள் அரங்கில் பாடுகிறார்கள்., No Error, அவர்கள் அரங்கில் பாடுகிறார்கள்.
அவள் நகரத்தில் படிக்கிறாள்., No Error, அவள் நகரத்தில் படிக்கிறாள்.
அவள் பூங்காவில் எழுதுகிறாள்., No Error, அவள் பூங்காவில் எழுதுகிறாள்.
நான் பூங்காவில் வந்தேன்., No Error, நான் பூங்காவில் வந்தேன்.
அவன் பள்ளியில் எழுதுகிறான்., No Error, அவன் பள்ளியில் எழுதுகிறான்.
அவர்கள் நகரத்தில் செல்கிறார்கள்., No Error, அவர்கள் நகரத்தில் செல்கிறார்கள்.
நான் பள்ளியில் எழுதுகிறேன்., No Error, நான் பள்ளியில் எழுதுகிறேன்.
அவன் தினமும் பூங்காவில் நடைபயிற்சி செய்கிறான்., No Error, அவன் தினமும் பூங்காவில் நடைபயிற்சி செய்கிறான்.
நாங்கள் பள்ளியில் வினாடி வினா போட்டியில் கலந்து கொள்கிறோம்., No Error, நாங்கள் பள்ளியில் வினாடி வினா போட்டியில் கலந்து கொள்கிறோம்.
நீங்கள் கடற்கரையில் புத்தகத்தை வாசிக்கிறீர்கள்., No Error, நீங்கள் கடற்கரையில் புத்தகத்தை வாசிக்கிறீர்கள்.
அவள் தோட்டத்தில் செடிகளை நீர்ப்பாய்ச்சி செய்கிறாள்., No Error, அவள் தோட்டத்தில் செடிகளை நீர்ப்பாய்ச்சி செய்கிறாள்.
நான் சூரிய உதயத்தை பார்க்கக் காத்திருக்கிறேன்., No Error, நான் சூரிய உதயத்தை பார்க்கக் காத்திருக்கிறேன்.
அவர்கள் ஆராய்ச்சி மையத்தில் புதிய திட்டத்தில் பணியாற்றுகிறார்கள்., No Error, அவர்கள் ஆராய்ச்சி மையத்தில் புதிய திட்டத்தில் பணியாற்றுகிறார்கள்.
அவன் பழங்கள் வாங்க காய்கறி சந்தைக்கு செல்கிறான்., No Error, அவன் பழங்கள் வாங்க காய்கறி சந்தைக்கு செல்கிறான்.
